asin,title,author,category_name,numRatings,rating
gr_168642.In_Cold_Blood,In Cold Blood,Truman Capote,"Nonfiction, Classics, True Crime, Crime, Mystery",529229,4.07
gr_2156.Persuasion,Persuasion,"Jane Austen, Deidre Shauna Lynch, James Kinsley","Classics, Fiction, Romance, Historical Fiction, Literature",524408,4.14
gr_36072.The_7_Habits_of_Highly_Effective_People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"Stephen R. Covey, Jim Collins (Foreward, Contributor)","Self Help, Nonfiction, Business, Personal Development, Psychology",524128,4.12
gr_137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,"Fiction, Chick Lit, Contemporary, Adult Fiction, Southern",522717,3.83
gr_397483.The_Devil_in_the_White_City,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,"Nonfiction, History, True Crime, Crime, Historical",521583,3.99
gr_52892857-the-color-purple,The Color Purple,Alice Walker,"Classics, Fiction, Historical Fiction, Feminism, Historical",521200,4.22
gr_6411961-the-lost-symbol,The Lost Symbol,Dan Brown,"Fiction, Mystery, Thriller, Mystery Thriller, Suspense",521050,3.71
gr_10592.Carrie,Carrie,Stephen King,"Horror, Fiction, Thriller, Paranormal, Fantasy",520467,3.96
gr_4989.The_Red_Tent,The Red Tent,Anita Diamant,"Historical Fiction, Fiction, Historical, Religion, Book Club",520252,4.18
gr_39999.The_Boy_in_the_Striped_Pajamas,The Boy in the Striped Pajamas,John Boyne,"Historical Fiction, Fiction, Young Adult, Historical, Holocaust",517922,4.15
gr_11127.The_Chronicles_of_Narnia,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes","Fantasy, Classics, Fiction, Young Adult, Childrens",517740,4.26
gr_43615.The_Gunslinger,The Gunslinger,Stephen King,"Fantasy, Fiction, Horror, Science Fiction, Westerns",514829,3.95
gr_42156.Something_Borrowed,Something Borrowed,Emily Giffin,"Chick Lit, Romance, Fiction, Contemporary, Adult",507432,3.85
gr_40097951-the-silent-patient,The Silent Patient,Alex Michaelides,"Mystery, Thriller, Fiction, Mystery Thriller, Audiobook",507237,4.09
gr_6400090-the-last-song,The Last Song,Nicholas Sparks,"Romance, Fiction, Young Adult, Contemporary, Chick Lit",504747,4.15
gr_32075671-the-hate-u-give,The Hate U Give,Angie Thomas,"Young Adult, Fiction, Contemporary, Audiobook, Realistic Fiction",503674,4.52
